Rejection Rate=5.0E-4, maxNN=1, kernelSigma=10.0
***Original Data
Fold,Euclidean-J,Euclidean-K,Theta
1,1,1,0.9184919833158979
2,1,1,1.233420405683536
3,1,1,0.9723120556464012
Original, gmean, tpr, tnr, precision,mcc
EuclideanJK,0.5262(0.0125),0.4779(0.0846),0.5880(0.0711),0.3833(0.0022),0.0637(0.0125)
Euclidean11,0.5262(0.0125),0.4779(0.0846),0.5880(0.0711),0.3833(0.0022),0.0637(0.0125)
Euclidean11Theta,0.4732(0.0468),0.5081(0.2333),0.5222(0.2571),0.3687(0.0180),0.0306(0.0238)
LOF,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)

RSub-50, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
Euclidean11,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
Euclidean11Theta,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
LOF,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)

RSub-75, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
Euclidean11,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
Euclidean11Theta,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
LOF,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)

Random Projection, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
Euclidean11,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
Euclidean11Theta,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
LOF,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)

Kernel Features, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
Euclidean11,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
Euclidean11Theta,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
LOF,0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000),0.0000(0.0000)
